Case_ID,Location_City,Location_State,Urban_Specific,Date_of_Marriage,Date_of_Separation,Date_of_Divorce,Duration_of_Marriage_Years,Divorce_Reason,Counseling_Attempted,Mediation_Used,Solution_Adopted,Process_Status,Legal_Process_Duration_Months,Children_Custody,Child_Support,Number_of_Children,Work_Life_Stress,Social_Media_Influence,Support_Network,COVID_Impact,Repeat_Marriage,Age_At_Marriage_Wife,Age_At_Marriage_Husband
65,Ahmedabad,Gujarat,TRUE,2018-07-28,,,6.9,Domestic Violence,No,No,Reconciliation,Ongoing,19,NA,No,1,High,Yes,NGO,Yes,No,27,31
66,Noida,Uttar Pradesh,TRUE,2011-01-30,2015-01-22,2017-10-21,6.7,Work-Life Imbalance,No,No,Counseling,Settled,7,Joint,No,2,High,No,NGO,No,No,27,30
67,Ahmedabad,Gujarat,TRUE,2010-04-22,2015-01-07,2016-10-30,6.5,Career Prioritization,Yes,No,Mediation,Settled,18,Father,Yes,1,Low,Yes,None,No,No,30,33
68,Bengaluru,Karnataka,TRUE,2012-05-08,2021-06-17,2023-08-26,11.3,Lack of Communication,Yes,No,Divorce,Settled,21,Mother,No,1,Medium,Yes,Parents,No,No,27,31
69,Delhi,Delhi,TRUE,2012-10-01,2022-03-20,2023-03-06,10.4,Lack of Communication,Yes,No,Reconciliation,Settled,22,NA,No,0,High,No,Friends,No,No,30,30
70,Pune,Maharashtra,TRUE,2014-04-13,2023-02-23,,11.2,Unrealistic Expectations,Yes,No,Counseling,Ongoing,15,NA,No,2,Medium,Yes,NGO,Yes,No,27,28
71,Noida,Uttar Pradesh,TRUE,2015-09-14,2022-01-26,2024-04-18,8.6,Lack of Communication,Yes,Yes,Divorce,Reconciled,13,NA,No,2,Medium,Yes,Friends,Yes,No,25,31
72,Hyderabad,Telangana,TRUE,2016-04-27,2024-02-21,,9.2,Work-Life Imbalance,No,No,Reconciliation,Reconciled,21,NA,No,0,High,No,Friends,No,No,23,27
73,Pune,Maharashtra,TRUE,2014-07-11,2023-11-19,,11.0,Unrealistic Expectations,No,No,Reconciliation,Settled,20,NA,Yes,2,Medium,No,Friends,No,No,30,36
74,Kolkata,West Bengal,TRUE,2015-08-18,2024-05-09,2025-02-03,9.5,Infidelity,Yes,Yes,Family Intervention,Settled,12,NA,No,0,Medium,Yes,Friends,No,No,27,33
75,Chennai,Tamil Nadu,TRUE,2016-09-05,2020-09-09,2021-11-21,5.2,Work-Life Imbalance,No,No,Reconciliation,Reconciled,17,Mother,No,1,High,Yes,None,Yes,No,27,30
76,Chennai,Tamil Nadu,TRUE,2019-02-17,,,6.4,Lack of Communication,No,No,Reconciliation,Pending,7,Father,Yes,1,High,Yes,None,No,Yes,27,32
77,Chennai,Tamil Nadu,TRUE,2013-04-27,2018-09-01,2018-11-05,5.5,Career Prioritization,No,Yes,Counseling,Ongoing,19,NA,No,1,Medium,Yes,NGO,No,No,32,38
78,Pune,Maharashtra,TRUE,2012-02-11,2022-11-16,2023-10-17,11.7,Lack of Communication,Yes,Yes,Divorce,Ongoing,20,Father,No,1,Low,No,NGO,Yes,No,29,32
79,Noida,Uttar Pradesh,TRUE,2013-07-02,2018-08-17,2019-10-06,6.3,Unrealistic Expectations,Yes,Yes,Reconciliation,Ongoing,12,NA,No,0,Low,Yes,NGO,No,No,32,36
80,Chennai,Tamil Nadu,TRUE,2016-08-23,2021-10-30,,8.9,Infidelity,No,Yes,Family Intervention,Pending,10,NA,No,0,Medium,Yes,None,No,No,31,36
81,Mumbai,Maharashtra,TRUE,2016-05-31,2022-08-22,2022-04-19,5.9,Career Prioritization,Yes,No,Counseling,Settled,12,Mother,Yes,1,Medium,Yes,Parents,No,No,30,32
82,Noida,Uttar Pradesh,TRUE,2017-01-25,2025-12-07,,8.4,Work-Life Imbalance,No,Yes,Mediation,Pending,20,NA,No,0,Medium,No,Friends,No,No,30,32
83,Bengaluru,Karnataka,TRUE,2018-01-20,,,7.4,In-Laws Conflict,Yes,No,Counseling,Settled,21,NA,No,0,Low,No,NGO,No,No,32,32
84,Gurgaon,Haryana,TRUE,2012-11-08,2015-10-10,,12.7,Lack of Compatibility,Yes,Yes,Divorce,Ongoing,6,NA,Yes,2,Low,Yes,None,No,No,26,29
85,Delhi,Delhi,TRUE,2018-07-16,2021-01-07,,7.0,Unrealistic Expectations,No,Yes,Family Intervention,Reconciled,9,NA,No,2,High,No,Friends,No,No,25,25
86,Kolkata,West Bengal,TRUE,2014-02-21,2019-02-25,2019-07-21,5.4,Domestic Violence,Yes,No,Reconciliation,Reconciled,17,Joint,No,2,Low,Yes,Parents,Yes,No,29,34
87,Chennai,Tamil Nadu,TRUE,2010-10-10,2018-02-10,2020-12-18,10.2,Lack of Compatibility,Yes,Yes,Mediation,Ongoing,5,NA,Yes,0,High,Yes,NGO,No,No,24,28
88,Noida,Uttar Pradesh,TRUE,2017-07-16,,,8.0,Lack of Compatibility,Yes,No,Mediation,Reconciled,16,NA,Yes,1,Medium,Yes,Friends,No,No,30,34
89,Pune,Maharashtra,TRUE,2018-09-24,2024-03-08,,6.8,Unrealistic Expectations,Yes,No,Mediation,Ongoing,12,NA,No,0,Medium,No,Friends,No,No,27,28
90,Pune,Maharashtra,TRUE,2016-11-18,2022-07-14,2022-12-20,6.1,Unrealistic Expectations,No,No,Mediation,Ongoing,11,Father,Yes,2,High,Yes,None,Yes,No,23,28
91,Bengaluru,Karnataka,TRUE,2015-09-30,2022-04-11,2022-10-24,7.1,Lack of Compatibility,Yes,Yes,Reconciliation,Ongoing,12,Mother,Yes,1,High,No,None,No,No,31,31
92,Mumbai,Maharashtra,TRUE,2011-11-10,2015-09-18,2015-07-29,3.7,Domestic Violence,Yes,No,Family Intervention,Ongoing,15,Father,Yes,1,Low,No,NGO,No,No,23,25
93,Bengaluru,Karnataka,TRUE,2019-03-29,2023-04-22,2024-06-17,5.2,Unrealistic Expectations,No,No,Family Intervention,Ongoing,15,Mother,Yes,1,High,Yes,Parents,No,No,27,29
94,Bengaluru,Karnataka,TRUE,2013-09-29,2016-09-11,2017-08-08,3.9,Infidelity,Yes,No,Counseling,Settled,7,Mother,No,1,High,Yes,None,No,No,32,33
95,Gurgaon,Haryana,TRUE,2012-10-09,2015-03-29,,12.7,Financial Stress,No,No,Reconciliation,Reconciled,12,NA,Yes,1,Medium,Yes,Friends,Yes,No,28,29
96,Gurgaon,Haryana,TRUE,2011-12-10,2020-11-05,2022-03-26,10.3,Lack of Communication,Yes,No,Family Intervention,Pending,17,NA,Yes,0,High,No,None,No,No,32,37
97,Mumbai,Maharashtra,TRUE,2017-05-07,2021-04-09,,8.2,Work-Life Imbalance,Yes,No,Counseling,Ongoing,6,NA,Yes,1,Medium,No,None,No,No,26,29
98,Delhi,Delhi,TRUE,2015-01-07,2019-04-23,,10.5,Lack of Compatibility,No,No,Divorce,Ongoing,15,NA,Yes,1,Medium,No,Friends,No,No,23,29
99,Kolkata,West Bengal,TRUE,2017-09-29,2021-08-30,2022-01-22,4.3,Domestic Violence,No,Yes,Mediation,Settled,16,Joint,No,2,Medium,No,NGO,No,No,26,26
100,Mumbai,Maharashtra,TRUE,2010-10-25,2016-08-31,2017-11-20,7.1,Career Prioritization,Yes,No,Mediation,Ongoing,12,NA,No,0,Low,Yes,None,No,No,29,32
101,Hyderabad,Telangana,TRUE,2012-09-03,2019-09-11,,12.8,Lack of Communication,Yes,Yes,Divorce,Settled,8,NA,Yes,2,Medium,Yes,None,Yes,No,28,28
102,Hyderabad,Telangana,TRUE,2011-09-23,2021-10-05,2022-11-23,11.2,In-Laws Conflict,No,No,Divorce,Reconciled,11,Joint,Yes,1,Low,Yes,None,No,No,30,35
103,Chennai,Tamil Nadu,TRUE,2016-06-15,2025-04-11,2025-04-17,8.8,Work-Life Imbalance,No,No,Family Intervention,Pending,14,Mother,Yes,2,High,Yes,None,No,No,26,30
104,Kolkata,West Bengal,TRUE,2017-01-11,2025-03-04,2025-02-17,8.1,Unrealistic Expectations,Yes,Yes,Divorce,Pending,16,NA,No,0,Low,Yes,NGO,No,No,24,25
105,Pune,Maharashtra,TRUE,2011-03-05,2016-02-17,2017-07-06,6.3,Lack of Compatibility,No,No,Counseling,Reconciled,6,NA,No,0,High,Yes,Friends,No,No,25,27
106,Noida,Uttar Pradesh,TRUE,2014-07-29,2018-03-18,2019-01-12,4.5,Lack of Compatibility,Yes,Yes,Divorce,Reconciled,11,Father,Yes,2,Medium,Yes,None,No,No,28,32
107,Delhi,Delhi,TRUE,2017-12-09,2024-11-10,2025-12-25,8.0,Infidelity,Yes,No,Mediation,Ongoing,11,Mother,No,1,Low,No,Friends,No,No,30,32
108,Gurgaon,Haryana,TRUE,2018-09-18,2025-07-16,,6.8,Infidelity,Yes,Yes,Divorce,Settled,7,Father,No,1,High,No,NGO,No,No,24,24
109,Gurgaon,Haryana,TRUE,2016-06-18,,,9.0,Domestic Violence,No,No,Divorce,Ongoing,8,NA,No,2,Low,Yes,Parents,No,No,26,26
110,Pune,Maharashtra,TRUE,2013-12-15,2018-12-19,,11.6,Work-Life Imbalance,Yes,Yes,Counseling,Reconciled,8,NA,Yes,2,Low,Yes,None,No,No,31,36
111,Pune,Maharashtra,TRUE,2011-11-25,2016-12-24,,13.6,In-Laws Conflict,Yes,Yes,Family Intervention,Ongoing,22,NA,No,1,Medium,Yes,Friends,No,No,30,33
112,Noida,Uttar Pradesh,TRUE,2015-03-03,2020-05-07,,10.3,Infidelity,Yes,Yes,Reconciliation,Settled,13,NA,No,0,High,Yes,NGO,No,No,27,28
113,Hyderabad,Telangana,TRUE,2016-03-02,2022-02-20,2023-07-09,7.4,Domestic Violence,No,Yes,Divorce,Pending,5,Father,Yes,2,Low,Yes,NGO,No,No,31,36
114,Kolkata,West Bengal,TRUE,2018-08-15,2021-01-10,,6.9,Lack of Compatibility,No,Yes,Mediation,Reconciled,8,NA,No,1,Low,Yes,None,No,No,26,28
115,Pune,Maharashtra,TRUE,2014-12-01,2023-12-15,,10.6,Lack of Communication,Yes,No,Reconciliation,Pending,7,NA,No,0,High,No,Parents,No,No,26,32
116,Kolkata,West Bengal,TRUE,2016-10-17,2020-10-08,,8.7,Work-Life Imbalance,No,No,Counseling,Pending,10,NA,No,2,Medium,Yes,Parents,No,No,28,34
117,Ahmedabad,Gujarat,TRUE,2014-09-16,2024-08-17,2025-02-01,10.4,Career Prioritization,No,Yes,Counseling,Reconciled,17,Mother,Yes,2,Medium,No,NGO,No,No,24,25
118,Gurgaon,Haryana,TRUE,2017-11-29,2021-01-30,2023-10-20,5.9,Domestic Violence,No,No,Mediation,Reconciled,8,NA,Yes,0,High,Yes,Parents,No,No,28,31
119,Ahmedabad,Gujarat,TRUE,2012-08-08,2020-09-28,2022-11-23,10.3,Work-Life Imbalance,Yes,No,Divorce,Pending,9,NA,No,1,Low,No,Parents,No,No,29,32
120,Gurgaon,Haryana,TRUE,2019-12-03,2022-07-01,,5.6,Work-Life Imbalance,Yes,No,Divorce,Pending,22,NA,Yes,0,Low,Yes,Parents,No,No,23,25
121,Hyderabad,Telangana,TRUE,2016-03-24,2022-09-28,,9.3,Infidelity,Yes,No,Mediation,Ongoing,21,NA,No,1,Medium,No,Parents,No,No,23,28
122,Mumbai,Maharashtra,TRUE,2018-01-21,2024-06-17,2024-07-11,6.5,In-Laws Conflict,No,No,Mediation,Settled,11,Mother,Yes,1,Low,Yes,None,Yes,No,32,35
123,Kolkata,West Bengal,TRUE,2014-05-30,2023-10-27,2025-03-24,10.8,In-Laws Conflict,Yes,No,Mediation,Ongoing,17,Father,Yes,1,Medium,Yes,Parents,Yes,No,29,29
124,Gurgaon,Haryana,TRUE,2011-04-24,2014-04-13,2015-11-17,4.6,In-Laws Conflict,No,No,Divorce,Settled,15,Mother,No,1,Medium,Yes,None,No,No,31,32
125,Delhi,Delhi,TRUE,2019-12-20,,,5.5,Unrealistic Expectations,Yes,Yes,Divorce,Pending,7,NA,Yes,0,Low,Yes,NGO,No,No,32,36
126,Mumbai,Maharashtra,TRUE,2016-01-17,2021-05-09,,9.5,Financial Stress,Yes,No,Mediation,Reconciled,22,NA,Yes,0,High,Yes,Friends,Yes,No,32,36
127,Bengaluru,Karnataka,TRUE,2014-12-16,2021-12-02,2021-04-02,6.3,In-Laws Conflict,No,No,Family Intervention,Reconciled,15,Joint,No,1,Medium,Yes,Parents,Yes,No,29,29
128,Delhi,Delhi,TRUE,2015-12-03,2022-01-06,2022-11-08,6.9,Financial Stress,No,No,Counseling,Pending,9,NA,Yes,0,High,Yes,Friends,No,No,30,30
129,Gurgaon,Haryana,TRUE,2010-04-15,2013-02-07,2015-05-12,5.1,Work-Life Imbalance,No,No,Mediation,Pending,9,Mother,No,1,Medium,Yes,NGO,No,No,23,28
130,Noida,Uttar Pradesh,TRUE,2012-08-02,2022-11-01,2024-06-07,11.9,Domestic Violence,No,Yes,Reconciliation,Settled,14,Father,Yes,1,High,Yes,None,No,No,28,29
131,Bengaluru,Karnataka,TRUE,2019-03-04,2022-11-18,,6.3,Unrealistic Expectations,Yes,No,Reconciliation,Reconciled,12,NA,No,2,Low,Yes,Parents,No,No,24,29
132,Ahmedabad,Gujarat,TRUE,2015-12-22,2025-09-13,,9.5,Domestic Violence,No,Yes,Mediation,Reconciled,9,NA,No,1,High,Yes,None,No,No,32,38
133,Noida,Uttar Pradesh,TRUE,2010-01-08,2016-02-26,2018-06-18,8.4,Lack of Compatibility,Yes,No,Counseling,Reconciled,5,Joint,No,1,Medium,No,Parents,No,No,30,31
134,Hyderabad,Telangana,TRUE,2016-11-03,,,8.7,Lack of Compatibility,No,No,Counseling,Reconciled,9,NA,No,2,High,Yes,Parents,No,No,29,32
135,Delhi,Delhi,TRUE,2019-02-22,2025-10-23,2025-11-10,6.7,Lack of Communication,Yes,Yes,Mediation,Reconciled,7,Mother,Yes,1,Low,No,Parents,No,No,23,27
136,Pune,Maharashtra,TRUE,2010-10-27,2019-04-23,,14.7,Career Prioritization,No,No,Counseling,Reconciled,18,NA,No,1,Medium,Yes,NGO,No,No,24,24
137,Chennai,Tamil Nadu,TRUE,2014-08-03,2021-07-27,,10.9,Unrealistic Expectations,Yes,Yes,Divorce,Reconciled,13,NA,No,1,High,Yes,None,No,No,29,30
138,Noida,Uttar Pradesh,TRUE,2010-05-26,2014-03-30,2014-03-27,3.8,Lack of Communication,No,No,Mediation,Settled,6,Mother,No,1,High,No,Parents,No,No,26,29
139,Mumbai,Maharashtra,TRUE,2014-05-04,2024-01-27,2025-05-04,11.0,Unrealistic Expectations,Yes,Yes,Reconciliation,Pending,15,NA,No,1,Medium,No,NGO,No,No,30,34
140,Ahmedabad,Gujarat,TRUE,2013-01-08,2018-09-14,2019-06-10,6.4,Unrealistic Expectations,Yes,No,Reconciliation,Ongoing,9,NA,Yes,1,Medium,Yes,None,No,No,23,23
141,Gurgaon,Haryana,TRUE,2011-02-21,2015-09-27,,14.4,In-Laws Conflict,No,No,Family Intervention,Reconciled,10,NA,No,1,Medium,Yes,Parents,Yes,No,27,27
142,Kolkata,West Bengal,TRUE,2016-12-15,2021-08-04,,8.5,Unrealistic Expectations,Yes,Yes,Mediation,Pending,7,NA,No,1,Low,No,Friends,Yes,No,24,29
